CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
True,DAMANZAIHAO,Damanzaihao,7913622,,"Fishing Vessel, Fish factory ship",,Belize,V3TT3,312172000,49367.000,36484,228.600,"1980, 1979","19.030, 19.000","Tsurimi Shipyard, Yokohama, Japan",DVS-R Pte Ltd,DVS-R Pte Ltd,In Service/commission,,,,,,,,,,,,,,,,,,,2015-02-06 - ,Prolonged presence in the SPRFMO Area without authorisation and providing support to five authorised Peruvian trawlers,,,,,,,,
True,DIEGO STAR 2,,,,Fishing Vessel,,Comoros,D6A2026,,,,,,,,Rodia Processing Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06 - ,Fishing in the Agreement Area and not on the SIOFA Record of Authorised Vessels
True,DIEGO STAR 3,,8001608,,Fishing Vessel,Longline,Comoros,D6A2132,,299.000,,50.770,198004,3.560,Japan,Rodia Processing Plant,,In Service/commission,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06 - ,Fishing in the Agreement Area and not on the SIOFA Record of Authorised Vessels
True,DIGNAMOL 1,DIGNAMOL 1,,IND-TN-15-MM-125,Fishing Vessel,Lines unspecified,India,,,,,,,,,"Jelvis s/o Dicostan, SD. Jelvish, s/o Dikostan",James Robert,,2017-05 - ,Fishing without a license in the waters of the UK (OT),2017-07-15 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
False,DOLFIN,Dolphin,8422852,,Fishing Vessel,,Unknown,,,1898.000,690,62.260,198410,9.220,"VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 656, German Democratic Republic",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Scrapped,,,,,,,,,,,2007-10-31 - 2014-11-14,,,,2005-04-01 - 2014-11-14,OBS by EU and ISL fishing in the NEAFC Regulatory Area,2007-02-18 - 2014-11-14,,,,,,,,,,,
True,DONG WON NO. 629,Melilla No. 103,7809986,9710003-6260008,Fishing Vessel,Longline,South Korea,DTAQ8,,422.000,425,52.750,197809,3.750,"Niigata Engineering Co Ltd - Niigata Yard/hull No.: 1607, Japan",DONGWON FISHERIES CO LTD,DONGWON FISHERIES CO LTD,In Service/commission,,,2006-11-26 - ,Vessels greater than 24m not included in ICCAT Record of Vessels. Seen fishing in the MED during closed season,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
False,DRAGON 18,Dragon 18,,,,,Belize,V3NS5,,99.000,,,,2.000,Chien Renn Shipbuilding Co. Ltd,,"Shung Ye Fishery Co., Ltd",,,,,,2005-12-26 - 2008-06-27,,,,,,,,,,,,,,,,,,,,,,,
False,DRAGON 28,Dragon 28,,,,,Belize,V3HT2,,99.000,,27.600,2002,2.000,Chien Renn Shipbuilding Co. Ltd,Bluefin Todo De Belize Co. Ltd.,Bluefin Todo De Belize Co. Ltd.,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
True,DRAGON III,Dragon III,,,,,Unknown,,,105.000,,23.800,1997,3.200,,,Reino De Mar S.A.,,,,2013-08-20 - ,,2005-12-26 - ,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
False,DRAGON VI,Dragon VI,,,,,Costa Rica,,,91.000,,26.500,1995,3.600,Tecnonaval S.A.,Hung Chuan Wang Shih / Astillero Mariscos del Pacífico SA,Pesca Tuna SA,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,DRAGON XIII,Dragon XIII,,,,,Belize,,,,,,,,,,,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
False,DUBREKA,Cliff,8028424,,"Cargo vessel, Fish carrier",,Comoros,D6HQ9,616999336,2732.000,3346,80.750,198201,7.800,"Scheepswerf en Mfbk. Ysselwerf B.V. - Capelle a/d IJssel Yard/hull No.: 202, Netherlands",Sonit Sarl (Societe Sonit Guinee-Sarl),Sonit Sarl (Societe Sonit Guinee-Sarl),In Service/commission,,,,,,,,,,,2007-10-31 - 2009-07-10,,,,2005-04-01 - 2009-07-10,OBS by NOR transhipping in the NEAFC Regulatory Area,2007-02-18 - 2009-07-10,,,,,,,,,,,
True,EPHRAEEM,EPHRAEEM,,IND-TN-15-MM-4779,Fishing Vessel,"Gillnets, Longline",India,,,,,,,,,,,,2017-05 - ,"Fishing without a license, use of prohibited gear and no logbook in the waters of the UK (OT)",2017-07-15 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
